count,hybrid_mask
6159347,?w4
4521440,?w3
2314261,?w1
1184725,?w3?d?d
1011753,?w3?d
977389,?w2
867126,?d?d?d?d?d?d
848367,?w2?d?d
433513,?d?d?d?d?d?d?d
407249,?w3?l
386960,?w1?d
384449,?w4?d?d
375579,?w1?d?d
331227,?w2?w2
301864,?d?d?w2
301233,?d?d?d?d?d?d?d?d
293119,?w4?d
262235,?l?w3
261471,?w3?w2
231727,?d?d?d?d?d?d?d?d?d
223109,?d?d?d?d?d?d?d?d?d?d
208449,?l?l?w2
207170,?w3?w3
193820,?w3?d?d?d
177281,?w2?w3
177149,?w2?d?d?d
173529,?w2?l?l
149006,?w1?w2
137380,?w2?d
131398,?w3?d?d?d?d
127984,?w2?d?d?d?d
127273,?w2?w1
126010,?w4?w2
120809,?d?d?d?d?w2
119729,?d?d?w3
117501,?w3?d?d?d?d?d
116987,?w2?l
112541,?w2?w4
106729,?w4?d?d?d
100896,?w1?l
94894,?w4?l
88173,?d?w3
87964,?w3?w4
80048,?d?d?d?w2
79017,?w2?d?d?d?d?d?d
78908,?w3?l?l
78548,?l?l?l?w2
78513,?d?d?d?d?d
72369,?l?w4
71602,?d?w2?d
71334,?w1?d?d?d
63201,?w4?l?l
62533,?w4?w3
60347,?w3?s
59330,?l?l?w4
55194,?l?l?l?d?d?d?d
54246,?l?l?w3
54041,?w3?l?d?d
49526,?l?w3?d?d
47496,?w2?l?l?l
46763,?l?l?d?d?d?d
46327,?w3?d?d?d?d?d?d
46203,?l?l?l?d?d?d
45450,?w1?w1
43848,?l?l?l?l?l?l
43458,?l?l?l?w3
43286,?w4?d?d?d?d
42184,?w4?s
41940,?w4?w4
41083,?l?w2
40753,?d?d?w2?d?d
40392,?d?w1
39866,?w3?l?l?l
39785,?w3?l?w2
39778,?l?l?l?l?d?d
39555,?w2?d?d?d?d?d
38753,?l?w2?l
36447,?w2?l?d?d
35867,?w2?l?w2
35651,?l?l?l?l?w2
35549,?w3?l?d
34676,?l?l?w2?d?d
33739,?l?l?l?w4
33599,?w2?w2?d?d
33440,?w2?l?w3
33081,?w3?w1
31665,?w3?l?w3
31525,?w2?l?d
30236,?d?d?d?w3
29184,?w1?s
28845,?w2?l?l?d?d
28260,?l?w1
27236,?w1?w3
27061,?w1?d?d?d?d
27023,?w1?l?l
26849,?l?w3?w2
26783,?l?w3?l
26551,?d?d?d?d?d?d?d?d?d?d?d
25996,?d?w2
25295,?w4?w1
25125,?l?l?w1
24849,?l?w2?w2
24502,?w2?d?d?d?d?d?d?d
24455,?w2?w2?l
23951,?w2?w2?d
23934,?l?w3?d
23607,?l?w2?d?d
23429,?w2?w3?d
23152,?u?w3
22899,?d?d?w2?d
21495,?w2?l?l?w2
21279,?w4?l?l?l
21039,?d?d?d?d?d?d?l
20129,?w3?w2?d
20076,?d?d?d?d?l?l
19915,?w3?w2?d?d
19795,?w4?l?d
19585,?w3?w3?d
19375,?l?l?w2?l
19221,?l?d?d?d?d?d?d?d
19073,?d?w2?d?d
18916,?w2?s
18531,?l?l?l?l?d?d?d?d
18503,?w2?l?l?l?l
18299,?l?l?d?d?d?d?d
18193,?l?l?l?l?w3
17889,?w3?u
17607,?w2?l?l?d
17526,?w1?l?d
17321,?l?l?w2?w2
17219,?u?u?u?u?u?u
17038,?w3?s?d?d
17000,?l?w2?l?l
16805,?d?d?d?d?w3
16677,?l?l?d?d?d?d?d?d
16666,?d?d?d?w2?d
16214,?w2?d?d?w2
16147,?l?d?d?d?d?d
15806,?l?d?d?d?d?d?d
15619,?d?d?d?w2?d?d?d
15464,?d?d?d?d?d?d?d?l
15433,?w3?d?w2
15328,?w2?s?w2
15326,?l?w3?w3
15162,?d?d?d?d?w2?d?d
14834,?l?l?l?d?d?d?d?d
14799,?d?d?d?d?d?d?w2
14686,?w3?l?l?l?l
14512,?d?w3?d
14476,?w2?w3?d?d
14458,?w2?w3?l
14412,?w2?d?w2
14374,?d?d?d?d?d?w2
14137,?d?d?w1
13854,?w1?l?d?d
13735,?d?d?d?d
13710,?d?d?w2?d?d?d?d
13619,?l?w3?d?d?d
13511,?w3?l?l?d
13049,?w4?l?d?d
13048,?w3?w3?d?d
13018,?l?w2?w3
13002,?l?l?w2?d
12945,?w1?w4
12940,?l?w3?l?l
12793,?w3?s?w2
12633,?d?w2?d?d?d
12611,?w3?l?l?d?d
12501,?d?d?d?d?d?d?d?d?d?d?d?d
12498,?l?l?l?l?d?d?d
12393,?l?w2?d
12295,?w3?l?d?d?d
12243,?w3?w3?l
12048,?l?l?w2?l?l
12046,?l?l?w3?d
12042,?d?d?d?d?w2?d
11986,?l?l?l?l?l
11881,?d?d?d?w2?d?d
11781,?l?l?l?w2?d?d
11595,?u?u?u?u?d?d
11249,?w4?s?d?d
11103,?w4?u
10974,?l?l?l?l?l?l?l
10890,?l?w4?d
10849,?w3?d?d?w2
10806,?d?d?d?d?d?d?l?l
10805,?w2?w2?l?l
10746,?d?d?w3?d
10562,?w3?s?w3
10484,?w3?w2?l
10448,?w3?s?d
10428,?w3?l?w4
10123,?w2?l?d?d?d
10103,?w3?l?l?w2
10052,?l?l?l?d?d
10033,?d?d?d?d?d?l
10002,?u?w4
9976,?d?w4
9921,?l?l?w3?d?d
9843,?w2?s?w3
9837,?d?d?w2?d?d?d
9751,?l?l?l?l?l?l?d?d
9730,?d?w1?d
9704,?l?l?w3?l
9638,?l?w2?d?d?d
9288,?l?w4?l
9287,?l?l?l?l?l?d?d
9183,?u?w3?d?d
9159,?w4?s?d
9064,?w2?d?d?l
9063,?u?u?u?w4
9003,?l?l?l?d?d?d?d?d?d
8977,?d?d?d?w1
8922,?w2?w2?w2
8884,?w2?l?d?d?d?d
8860,?w2?l?w4
8722,?w2?s?d?d
8671,?u?u?w4
8640,?l?l?l?l?l?l?l?l
8621,?w2?s?d
8523,?d?w2?d?d?d?d?d
8422,?l?w2?d?d?d?d
8297,?d?d?d?d?d?w2?d
8264,?l?l?l?l?l?d
8261,?w4?l?w3
8120,?l?l?w2?d?d?d
8096,?d?w2?d?d?d?d
8061,?w4?l?w2
8049,?l?w4?d?d
8037,?l?w3?w4
7926,?d?d?d?d?l?l?l
7873,?l?l?l?l?w4
7682,?l?l?l?l?l?l?d
7637,?l?w3?d?d?d?d
7602,?l?w2?l?d?d
7561,?w2?d?l
7539,?w2?l?l?w3
7473,?u?u?u?u?u?u?u
7300,?d?d?w3?d?d
7264,?w3?d?d?d?d?d?d?d
7257,?u?l?w2
7131,?l?l?l?w1
7091,?w2?l?l?l?d?d
7044,?w3?d?l
6973,?l?w2?w4
6949,?w2?l?l?d?d?d
6933,?w4?l?l?d
6933,?w2?l?l?l?d
6895,?l?l?w2?w3
6850,?l?l?l?w3?d
6741,?w3?l?d?d?d?d
6738,?w2?d?d?l?l
6620,?w4?u?u
6594,?d?d?d?d?d?d?d?d?d?d?d?d?d
6535,?w4?l?l?l?l
6526,?d?d?d?w4
6490,?l?l?l?w2?d
6470,?w4?d?d?d?d?d
6402,?u?u?u?w2
6158,?w3?d?w3
6080,?w2?d?w3
6074,?w3?d?d?s
5981,?d?d?w4
5963,?l?w2?l?w2
5958,?l?l?l?l?l?w2
5790,?u?u?u?w3
5695,?l?w2?l?l?l
5671,?u?u?u?d?d?d
5664,?w1?s?d
5661,?w2?d?w2?d
5659,?w4?w2?d?d
5594,?w3?w2?l?l
5537,?l?d?d?w2
5509,?l?d?d?d?d?d?d?d?d
5456,?d?d?d?l?l?l
5407,?l?l?d?w2
5403,?l?l?l?d?d?w2
5369,?u?u?u?u?u
5324,?d?d?d?d?w4
5315,?d?d?w2?d?d?d?d?d
5303,?l?l?d?d?w2
5302,?u?u?u?d?d?d?d
5274,?l?w3?l?l?l
5204,?u?u?w2
5202,?d?d?d?d?d?d?d?d?d?d?d?d?d?d
5199,?w4?u?u?u
5199,?w4?d?d?d?d?d?d
5119,?u?l?w4
5107,?w1?w2?d?d
5088,?l?l?d?d?d?d?d?d?d
5071,?w4?l?l?d?d
5030,?w3?l?w1
5024,?w3?d?d?d?w3?d?d?d
4987,?w4?l?l?w2
4973,?d?d?d?d?d?l?l
4969,?w3?u?u?u
4933,?w3?w2?w2
4932,?w4?s?s
4891,?l?d?w2
4874,?w3?l?l?l?d
4825,?w1?s?d?d
4818,?u?l?l?w2
4801,?w1?l?l?l
4778,?u?u?u?u?w2
4759,?u?l?l?w4
4755,?d?d?d?d?d?d?d?d?l
4752,?w2?w2?d?d?d
4737,?w3?s?s
